,Movie,Rating,Genre,Release Date,Runtime,Director,URL
102,The Stranger,61.0,"Crime, Drama, Mystery, Thriller",10/06/2022 ,1h 57m,Thomas M. Wright,https://www.themoviedb.org/movie/848791-the-stranger
103,Lou,67.0,"Action, Thriller, Drama",09/23/2022 ,1h 47m,Anna Foerster,https://www.themoviedb.org/movie/429473-lou
104,Crawlspace,68.0,Thriller,03/31/2022 ,1h 30m,L. Gustavo Cooper,https://www.themoviedb.org/movie/879538-crawlspace
105,Togo,65.0,"Crime, Drama",10/05/2022 ,1h 35m,Adrián Caetano,https://www.themoviedb.org/movie/884363-togo
106,Black Adam: Saviour or Destroyer?,71.0,Documentary,10/16/2022 ,22m,Adrián Caetano,https://www.themoviedb.org/movie/1040330-black-adam-saviour-or-destroyer
107,Doraemon: Nobita's Little Star Wars 2021,56.0,"Animation, Science Fiction, Adventure",03/04/2022 ,1h 48m,Susumu Yamaguchi,https://www.themoviedb.org/movie/782054-2021
108,Sword Art Online the Movie -Progressive- Aria of a Starless Night,83.0,"Animation, Action, Fantasy, Science Fiction",10/30/2021 ,1h 37m,Yasuyuki Kai,https://www.themoviedb.org/movie/761898
109,The Batman,77.0,"Crime, Mystery, Thriller",03/04/2022 ,2h 57m,Matt Reeves,https://www.themoviedb.org/movie/414906-the-batman
110,The Temptation of Kimono,46.0,"Drama, Romance",03/27/2009 ,1h 25m,Tadashi Kyouya,https://www.themoviedb.org/movie/247136
111,Matriarch,53.0,Horror,10/21/2022 ,1h 25m,Ben Steiner,https://www.themoviedb.org/movie/1024535-matriarch
112,Encanto,77.0,"Animation, Comedy, Family, Fantasy",11/24/2021 ,1h 42m,Charise Castro Smith,https://www.themoviedb.org/movie/568124-encanto
113,Summer Ghost,77.0,"Animation, Drama, Mystery, Fantasy",11/12/2021 ,40m,loundraw,https://www.themoviedb.org/movie/798544
114,Black Panther,74.0,"Action, Adventure, Science Fiction",02/16/2018 ,2h 15m,Ryan Coogler,https://www.themoviedb.org/movie/284054-black-panther
115,The Noel Diary,67.0,"Romance, Comedy, Drama",11/24/2022 ,1h 39m,Charles Shyer,https://www.themoviedb.org/movie/736918-the-noel-diary
116,Holiday Harmony,89.0,"Romance, Comedy",11/24/2022 ,1h 51m,Shaun Paul Piccinino,https://www.themoviedb.org/movie/1028935-holiday-harmony
117,Who's a Good Boy?,70.0,Comedy,11/23/2022 ,1h 35m,Ihtzi Hurtado,https://www.themoviedb.org/movie/1044043-el-guau
118,The Twin,61.0,"Horror, Mystery",04/06/2022 ,1h 49m,Taneli Mustonen,https://www.themoviedb.org/movie/477462-the-twin
119,One Piece Film Red,74.0,"Animation, Adventure, Action, Fantasy",10/07/2022 ,1h 55m,Goro Taniguchi,https://www.themoviedb.org/movie/900667-one-piece-film-red
120,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0,"Animation, Action, Adventure, Fantasy",08/13/2021 ,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
121,Christmas on Mistletoe Farm,54.0,"Family, Comedy",11/24/2022 ,1h 44m,Debbie Isitt,https://www.themoviedb.org/movie/1038627-christmas-on-mistletoe-farm
122,Intergalactic Meeting,60.0,"Adventure, Science Fiction, Comedy",09/22/2022 ,1h 25m,Fabrício Bittar,https://www.themoviedb.org/movie/1006381-acampamento-intergalactico
123,Falling for Christmas,66.0,"Romance, Comedy",11/10/2022 ,1h 35m,Janeen Damian,https://www.themoviedb.org/movie/833097-falling-for-christmas
124,The Black Phone,78.0,"Horror, Thriller",06/24/2022 ,1h 43m,Scott Derrickson,https://www.themoviedb.org/movie/756999-the-black-phone
125,Seoul Vibe,69.0,"Action, Crime, Comedy, Adventure",08/26/2022 ,2h 20m,Moon Hyun-sung,https://www.themoviedb.org/movie/773867
126,An Argentinian crime,62.0,Thriller,08/25/2022 ,1h 53m,Lucas Combina,https://www.themoviedb.org/movie/941959-un-crimen-argentino
127,Dracula: The Original Living Vampire,58.0,"Horror, Fantasy, Thriller",01/28/2022 ,1h 26m,Maximilian Elfeldt,https://www.themoviedb.org/movie/928015-dracula-the-original-living-vampire
